Artist,Track,Genre,Source_License,Language,Include
`3`,The rest of the accompaniment,"
- `4` - The vocals.

For each file", the mixture correspond to the sum of all the signals. All signals are stereophonic and encoded at 44.1kHz.,,
A Classic Education,NightOwl,Singer/Songwriter,MedleyDB,,
Actions,Devil's Words,Pop/Rock,DSD,,
Actions,One Minute Smile,Pop/Rock,DSD,,
Actions,South Of The Water,Pop/Rock,DSD,,
Aimee Norwich,Child,Singer/Songwriter,MedleyDB,,
Al James,Schoolboy Facination,Pop/Rock,DSD,,
Alexander Ross,Goodbye Bolero,Singer/Songwriter,MedleyDB,,
Alexander Ross,Velvet Curtain,Singer/Songwriter,MedleyDB,,
AM Contra,Heart Peripheral,Pop/Rock,DSD,,
Angela Thomas Wade,Milk Cow Blues,Country,DSD,,
ANiMAL,Clinic A,Rap,DSD,,
ANiMAL,Easy Tiger,Rap,DSD,,
ANiMAL,Rockshow,Rap,DSD,,
Arise,Run Run Run,Reggae,DSD,,
Atlantis Bound,It Was My Fault For Waiting,Pop/Rock,DSD,,
Auctioneer,Our Future Faces,Singer/Songwriter,MedleyDB,,
AvaLuna,Waterduct,Rock,MedleyDB,,
Ben Carrigan,We'll Talk About It All Tonight,Pop/Rock,DSD,,
BigTroubles,Phantom,Rock,MedleyDB,,
Bill Chudziak,Children Of No-one,Pop/Rock,DSD,,
BKS,Bulldozer,Pop/Rock,DSD,,
BKS,Too Much,Pop/Rock,DSD,,
Black Bloc,If You Want Success,Pop/Rock,DSD,,
Bobby Nobody,Stitch Up,Pop/Rock,DSD,,
Buitraker,Revo X,Pop/Rock,DSD,,
Carlos Gonzalez,A Place For Us,Pop/Rock,DSD,,
Celestial Shore,Die For Us,Singer/Songwriter,MedleyDB,,
Chris Durban,Celebrate,Electronic,DSD,,
Clara Berry And Wooldog,Air Traffic,Singer/Songwriter,MedleyDB,,
Clara Berry And Wooldog,Stella,Singer/Songwriter,MedleyDB,,
Clara Berry And Wooldog,Waltz For My Victims,Singer/Songwriter,MedleyDB,,
Cnoc An Tursa,Bannockburn,Heavy Metal,DSD,,
Creepoid,OldTree,Rock,MedleyDB,,
Cristina Vane,So Easy,Pop/Rock,DSD,,
Dark Ride,Burning Bridges,Heavy Metal,DSD,,
Detsky Sad,Walkie Talkie,Pop/Rock,DSD,,
Dreamers Of The Ghetto,Heavy Love,Pop,MedleyDB,,
Drumtracks,Ghost Bitch,Pop/Rock,DSD,,
Enda Reilly,Cur An Long Ag Seol,Pop/Rock,DSD,,
Faces On Film,Waiting For Ga,Singer/Songwriter,MedleyDB,,
Fergessen,Back From The Start,Pop/Rock,DSD,,
Fergessen,Nos Palpitants,Pop/Rock,DSD,,
Fergessen,The Wind,Pop/Rock,DSD,,
Flags,54,Pop/Rock,DSD,,
Forkupines,Semantics,Pop/Rock,DSD,,
Georgia Wonder,Siren,Pop/Rock,DSD,,
Girls Under Glass,We Feel Alright,Electronic,DSD,,
Giselle,Moss,Electronic,DSD,,
Grants,PunchDrunk,Rap,MedleyDB,,
Helado Negro,Mitad Del Mundo,Pop,MedleyDB,,
Hezekiah Jones,Borrowed Heart,Singer/Songwriter,MedleyDB,,
Hollow Ground,Ill Fate,Heavy Metal,DSD,,
Hollow Ground,Left Blind,Heavy Metal,DSD,,
Hop Along,Sister Cities,Rock,MedleyDB,,
Invisible Familiars,Disturbing Wildlife,Singer/Songwriter,MedleyDB,,
James Elder & Mark M Thompson,The English Actor,Heavy Metal,DSD,,
James May,All Souls Moon,Pop/Rock,DSD,,
