Artist,Track,Genre,Source_License,Language,Include,FullName,Has_Lyrics
A Classic Education,NightOwl,Singer/Songwriter,MedleyDB,,,A Classic Education - NightOwl,yes
Actions,Devil's Words,Pop/Rock,DSD,,,Actions - Devil's Words,yes
Actions,One Minute Smile,Pop/Rock,DSD,,,Actions - One Minute Smile,yes
Actions,South Of The Water,Pop/Rock,DSD,,,Actions - South Of The Water,yes
Aimee Norwich,Child,Singer/Songwriter,MedleyDB,,,Aimee Norwich - Child,yes
Alexander Ross,Goodbye Bolero,Singer/Songwriter,MedleyDB,,,Alexander Ross - Goodbye Bolero,yes
Alexander Ross,Velvet Curtain,Singer/Songwriter,MedleyDB,,,Alexander Ross - Velvet Curtain,yes
Angela Thomas Wade,Milk Cow Blues,Country,DSD,,,Angela Thomas Wade - Milk Cow Blues,yes
ANiMAL,Clinic A,Rap,DSD,,,ANiMAL - Clinic A,yes
ANiMAL,Easy Tiger,Rap,DSD,,,ANiMAL - Easy Tiger,yes
ANiMAL,Rockshow,Rap,DSD,,,ANiMAL - Rockshow,yes
Atlantis Bound,It Was My Fault For Waiting,Pop/Rock,DSD,,,Atlantis Bound - It Was My Fault For Waiting,yes
Auctioneer,Our Future Faces,Singer/Songwriter,MedleyDB,,,Auctioneer - Our Future Faces,yes
AvaLuna,Waterduct,Rock,MedleyDB,,,AvaLuna - Waterduct,yes
BigTroubles,Phantom,Rock,MedleyDB,,,BigTroubles - Phantom,yes
Bill Chudziak,Children Of No-one,Pop/Rock,DSD,,,Bill Chudziak - Children Of No-one,yes
Black Bloc,If You Want Success,Pop/Rock,DSD,,,Black Bloc - If You Want Success,yes
Celestial Shore,Die For Us,Singer/Songwriter,MedleyDB,,,Celestial Shore - Die For Us,yes
Chris Durban,Celebrate,Electronic,DSD,,,Chris Durban - Celebrate,yes
Clara Berry And Wooldog,Air Traffic,Singer/Songwriter,MedleyDB,,,Clara Berry And Wooldog - Air Traffic,yes
Clara Berry And Wooldog,Stella,Singer/Songwriter,MedleyDB,,,Clara Berry And Wooldog - Stella,yes
Clara Berry And Wooldog,Waltz For My Victims,Singer/Songwriter,MedleyDB,,,Clara Berry And Wooldog - Waltz For My Victims,yes
Cnoc An Tursa,Bannockburn,Heavy Metal,DSD,,,Cnoc An Tursa - Bannockburn,yes
Creepoid,OldTree,Rock,MedleyDB,,,Creepoid - OldTree,yes
Dark Ride,Burning Bridges,Heavy Metal,DSD,,,Dark Ride - Burning Bridges,yes
Dreamers Of The Ghetto,Heavy Love,Pop,MedleyDB,,,Dreamers Of The Ghetto - Heavy Love,yes
Drumtracks,Ghost Bitch,Pop/Rock,DSD,,,Drumtracks - Ghost Bitch,yes
Faces On Film,Waiting For Ga,Singer/Songwriter,MedleyDB,,,Faces On Film - Waiting For Ga,yes
Fergessen,Back From The Start,Pop/Rock,DSD,,,Fergessen - Back From The Start,yes
Fergessen,The Wind,Pop/Rock,DSD,,,Fergessen - The Wind,yes
Flags,54,Pop/Rock,DSD,,,Flags - 54,yes
Giselle,Moss,Electronic,DSD,,,Giselle - Moss,yes
Grants,PunchDrunk,Rap,MedleyDB,,,Grants - PunchDrunk,yes
Hezekiah Jones,Borrowed Heart,Singer/Songwriter,MedleyDB,,,Hezekiah Jones - Borrowed Heart,yes
Hollow Ground,Left Blind,Heavy Metal,DSD,,,Hollow Ground - Left Blind,yes
Hop Along,Sister Cities,Rock,MedleyDB,,,Hop Along - Sister Cities,yes
Invisible Familiars,Disturbing Wildlife,Singer/Songwriter,MedleyDB,,,Invisible Familiars - Disturbing Wildlife,yes
James May,All Souls Moon,Pop/Rock,DSD,,,James May - All Souls Moon,yes
James May,Dont Let Go,Pop/Rock,DSD,,,James May - Dont Let Go,yes
James May,If You Say,Pop/Rock,DSD,,,James May - If You Say,yes
James May,On The Line,Pop/Rock,DSD,,,James May - On The Line,yes
Jay Menon,Through My Eyes,Pop/Rock,DSD,,,Jay Menon - Through My Eyes,yes
Johnny Lokke,Promises & Lies,Pop/Rock,DSD,,,Johnny Lokke - Promises & Lies,yes
Johnny Lokke,Whisper To A Scream,Pop/Rock,DSD,,,Johnny Lokke - Whisper To A Scream,yes
Leaf,Come Around,Pop/Rock,DSD,,,Leaf - Come Around,yes
Leaf,Summerghost,Pop/Rock,DSD,,,Leaf - Summerghost,yes
Leaf,Wicked,Pop/Rock,DSD,,,Leaf - Wicked,yes
Lushlife,Toynbee Suite,Rap,MedleyDB,,,Lushlife - Toynbee Suite,yes
Matthew Entwistle,Dont You Ever,Jazz,MedleyDB,,,Matthew Entwistle - Dont You Ever,yes
Meaxic,You Listen,Rock,MedleyDB,,,Meaxic - You Listen,yes
Music Delta,80s Rock,Rock,MedleyDB,,,Music Delta - 80s Rock,yes
Music Delta,Beatles,Singer/Songwriter,MedleyDB,,,Music Delta - Beatles,yes
Music Delta,Britpop,Pop,MedleyDB,,,Music Delta - Britpop,yes
Music Delta,Country1,Country,MedleyDB,,,Music Delta - Country1,yes
Music Delta,Country2,Country,MedleyDB,,,Music Delta - Country2,yes
Music Delta,Disco,Pop,MedleyDB,,,Music Delta - Disco,yes
Music Delta,Gospel,Pop,MedleyDB,,,Music Delta - Gospel,yes
Music Delta,Grunge,Rock,MedleyDB,,,Music Delta - Grunge,yes
Music Delta,Hendrix,Rock,MedleyDB,,,Music Delta - Hendrix,yes
Music Delta,Punk,Rock,MedleyDB,,,Music Delta - Punk,yes
Music Delta,Reggae,Rock,MedleyDB,,,Music Delta - Reggae,yes
Music Delta,Rock,Rock,MedleyDB,,,Music Delta - Rock,yes
Music Delta,Rockabilly,Rock,MedleyDB,,,Music Delta - Rockabilly,yes
Night Panther,Fire,Pop,MedleyDB,,,Night Panther - Fire,yes
North To Alaska,All The Same,Pop/Rock,DSD,,,North To Alaska - All The Same,yes
Patrick Talbot,A Reason To Leave,Jazz,DSD,,,Patrick Talbot - A Reason To Leave,yes
Phre The Eon,Everybody's Falling Apart,Pop/Rock,DSD,,,Phre The Eon - Everybody's Falling Apart,yes
Port St Willow,Stay Even,Singer/Songwriter,MedleyDB,,,Port St Willow - Stay Even,yes
