Song,Split,Start,End,Duration,Words,Lyric,chunk_path,has_lyrics,mixture_chunk_path,drums_chunk_path,bass_chunk_path,other_chunk_path,vocals_chunk_path
A Classic Education - NightOwl,Train,0.0,8.0,8.0,6,i think you're right i do,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_0.00_8.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_0_8.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_0_8.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_0_8.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_0_8.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_0_8.wav
A Classic Education - NightOwl,Train,8.0,18.0,10.0,5,only feel us or you,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_8.00_18.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_8_18.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_8_18.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_8_18.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_8_18.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_8_18.wav
A Classic Education - NightOwl,Train,18.0,23.0,5.0,5,i know the reasons why,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_18.00_23.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_18_23.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_18_23.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_18_23.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_18_23.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_18_23.wav
A Classic Education - NightOwl,Train,23.0,28.0,5.0,3,you crave more,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_23.00_28.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_23_28.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_23_28.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_23_28.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_23_28.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_23_28.wav
A Classic Education - NightOwl,Train,28.0,34.0,6.0,3,harder than one,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_28.00_34.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_28_34.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_28_34.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_28_34.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_28_34.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_28_34.wav
A Classic Education - NightOwl,Train,34.0,43.0,9.0,9,you come up with none little did i think,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_34.00_43.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_34_43.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_34_43.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_34_43.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_34_43.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_34_43.wav
A Classic Education - NightOwl,Train,43.0,51.0,8.0,5,night owl red night promise,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_43.00_51.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_43_51.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_43_51.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_43_51.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_43_51.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_43_51.wav
A Classic Education - NightOwl,Train,51.0,58.0,7.0,3,slashes of love,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_51.00_58.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_51_58.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_51_58.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_51_58.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_51_58.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_51_58.wav
A Classic Education - NightOwl,Train,58.0,63.0,5.0,2,oh oh,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_58.00_63.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_58_63.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_58_63.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_58_63.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_58_63.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_58_63.wav
A Classic Education - NightOwl,Train,63.0,73.0,10.0,8,oh oh oh oh oh oh oh oh,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_63.00_73.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_63_73.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_63_73.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_63_73.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_63_73.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_63_73.wav
