/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_150.00_158.00.wav,Split,Start,End,Duration,Words,Lyric,chunk_path,has_lyrics
A Classic Education - NightOwl,Train,0,8,8,6,i think you're right i do,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_0.00_8.00.wav,True
A Classic Education - NightOwl,Train,8,18,10,5,only feel us or you,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_8.00_18.00.wav,True
A Classic Education - NightOwl,Train,18,23,5,5,i know the reasons why,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_18.00_23.00.wav,True
A Classic Education - NightOwl,Train,23,28,5,3,you crave more,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_23.00_28.00.wav,True
A Classic Education - NightOwl,Train,28,34,6,3,harder than one,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_28.00_34.00.wav,True
A Classic Education - NightOwl,Train,34,43,9,9,you come up with none little did i think,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_34.00_43.00.wav,True
A Classic Education - NightOwl,Train,43,51,8,5,night owl red night promise,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_43.00_51.00.wav,True
A Classic Education - NightOwl,Train,51,58,7,3,slashes of love,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_51.00_58.00.wav,True
A Classic Education - NightOwl,Train,58,63,5,2,oh oh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_58.00_63.00.wav,True
A Classic Education - NightOwl,Train,63,73,10,8,oh oh oh oh oh oh oh oh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_63.00_73.00.wav,True
