chunk_path,Song,Start,End,Lyric,has_lyrics,augmented_from
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_0_8.wav,A Classic Education - NightOwl,0,8,i think you're right i do,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_8_18.wav,A Classic Education - NightOwl,8,18,only feel us or you,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_18_23.wav,A Classic Education - NightOwl,18,23,i know the reasons why,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_23_28.wav,A Classic Education - NightOwl,23,28,you crave more,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_28_34.wav,A Classic Education - NightOwl,28,34,harder than one,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_34_43.wav,A Classic Education - NightOwl,34,43,you come up with none little did i think,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_43_51.wav,A Classic Education - NightOwl,43,51,night owl red night promise,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_51_58.wav,A Classic Education - NightOwl,51,58,slashes of love,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_58_63.wav,A Classic Education - NightOwl,58,63,oh oh,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_63_73.wav,A Classic Education - NightOwl,63,73,oh oh oh oh oh oh oh oh,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_73_80.wav,A Classic Education - NightOwl,73,80,oh oh,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_80_89.wav,A Classic Education - NightOwl,80,89,oh oh oh oh oh oh oh oh,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_89_99.wav,A Classic Education - NightOwl,89,99,ah ah oh,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_132_140.wav,A Classic Education - NightOwl,132,140,grant those stairs we see you and them,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_140_150.wav,A Classic Education - NightOwl,140,150,it's all lost and found burry me in the ground have no thoughts,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_150_158.wav,A Classic Education - NightOwl,150,158,don't you know it's all passages,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/A Classic Education - NightOwl_158_168.wav,A Classic Education - NightOwl,158,168,places that warning fits i'll come dig and beg yeah but all come around,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_9_20.wav,ANiMAL - Clinic A,9,20,ah welcome to the gates of dante's inferno a hate lasing wait for old time eternal demons with skim endings not forgiven across their pessimism with a verse of exorcism see the souls of the righteous,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_20_26.wav,ANiMAL - Clinic A,20,26,march with preciseness a part is enlightened cause fear's for the frightened if my team you be liking if you we be fighting known,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_26_35.wav,ANiMAL - Clinic A,26,35,to be striking like the force of the vikings as i step from the darkness one split blasting one hand carrying hates head in a basket my eyes half darkened by darth vader glasses,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_35_42.wav,ANiMAL - Clinic A,35,42,who ever ask it tell them it's de maquis i maintain my godless take aim the fathers and all this is done in the name of the fore fathers,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_42_49.wav,ANiMAL - Clinic A,42,49,i made a promise to push the papers margins i march like the spartans with today's artists we take aim,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_49_57.wav,ANiMAL - Clinic A,49,57,and haters have to run away with their head in shame cause we're not afraid,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_57_67.wav,ANiMAL - Clinic A,57,67,and we've got hate grenades we are the renegades straight out of clinic a i got my nine inch free for i'm a nice inch speaker,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_67_74.wav,ANiMAL - Clinic A,67,74,my nine in speaker my nine inch speaker my nine grants a path for my friends to get sweeter my friends to get sweeter my friends to get,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_74_82.wav,ANiMAL - Clinic A,74,82,ho jurassic like old school you see me as a cave man grinding on boats cause we've built this city on rock and roll,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_82_93.wav,ANiMAL - Clinic A,82,93,the parkers would travel the four corners of the world just to reach her for nonish now is the case one is a teacher to jump fit states in station her pockets getting paid having bent her on the bus and while the group was getting laid but,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_93_104.wav,ANiMAL - Clinic A,93,104,so even niece's chin is one track keep on willing is the was we do it cigars grab me nuts ey lady shake it bit sister pede ode seed kayde ade teed lips we take aim,TRUE,none
