Song,Start,End,Duration,Lyric,Lyric_clean,Prediction,Prediction_clean,WER,CER,Words
A Classic Education - NightOwl,0.0,8.0,8.0,i think youre right i do,i think youre right i do, I think you're right I do,i think youre right i do,0.0,0.0,6
A Classic Education - NightOwl,8.0,18.0,10.0,only feel us or you,only feel us or you, Only feeling of you,only feeling of you,0.6,0.21052631578947367,5
A Classic Education - NightOwl,18.0,23.0,5.0,i know the reasons why,i know the reasons why, I know the reasons why,i know the reasons why,0.0,0.0,5
A Classic Education - NightOwl,23.0,28.0,5.0,you crave more,you crave more, To Gravemore!,to gravemore,1.0,0.2857142857142857,3
A Classic Education - NightOwl,28.0,34.0,6.0,harder than one,harder than one, Hard than wine,hard than wine,0.6666666666666666,0.26666666666666666,3
A Classic Education - NightOwl,34.0,43.0,9.0,you come up with none little did i think,you come up with none little did i think, You come up with none Little did I think,you come up with none little did i think,0.0,0.0,9
A Classic Education - NightOwl,43.0,51.0,8.0,night owl red night promise,night owl red night promise," Night owl, red night, promise.",night owl red night promise,0.0,0.0,5
A Classic Education - NightOwl,51.0,58.0,7.0,slashes of love,slashes of love, slashes of blood on head,slashes of blood on head,1.0,0.6666666666666666,3
A Classic Education - NightOwl,58.0,63.0,5.0,oh oh,oh oh, Oh,oh,0.5,0.6,2
A Classic Education - NightOwl,63.0,73.0,10.0,oh oh oh oh oh oh oh oh,oh oh oh oh oh oh oh oh, oh,oh,0.875,0.9130434782608695,8
A Classic Education - NightOwl,73.0,80.0,7.0,oh oh,oh oh,,,1.0,1.0,2
A Classic Education - NightOwl,80.0,89.0,9.0,oh oh oh oh oh oh oh oh,oh oh oh oh oh oh oh oh,,,1.0,1.0,8
A Classic Education - NightOwl,89.0,99.0,10.0,ah ah oh,ah ah oh,,,1.0,1.0,3
A Classic Education - NightOwl,99.0,105.0,6.0,,,,,0.0,0.0,1
A Classic Education - NightOwl,105.0,113.0,8.0,,,,,0.0,0.0,1
A Classic Education - NightOwl,113.0,123.0,10.0,,,,,0.0,0.0,1
A Classic Education - NightOwl,123.0,132.0,9.0,,,,,0.0,0.0,1
